ID	src	dst	length		Dep		dTime		IDdep		Dep_PP
0	0	4	60	0	0	-1	-1154613196		OP:= Server_Send_Sch		wo_s_f_msg.meta.recver:=1	msg.meta.sender:=2147483647	num_workers:=3	num_servers:=1	recv_id:=4	worker_hostname:=	server0.fattreeps8.distributed-ml.emulab.net
ID	src	dst	length	Dep	dTime	IDdep	Dep_PP
0	1073741819	4	65	0	0	-1	-1154613196		OP:= Scheduler_Comm		rec_sch_f_msg.meta.recver:=1	scheduler_hostname:=server0.fattreeps8.distributed-ml.emulab.net
0	1073741819	4	57	1	1811401460	-1	5046324		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	1073741819	4	57	1	1812622016	-1	5046324		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	1073741819	4	57	1	1847997507	-1	5046324		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
4	4	0	136	0	0	3	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=9
5	4	1	136	0	0	4	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=11
6	4	2	136	0	0	5	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=13
7	4	3	136	0	0	6	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=8
0	4	1073741822	139	1	38068176	-1	0		OP:= Scheduler_to_Server		rec_w_plus_msg.meta.recver:=2147483647
8	4	4	27	0	0	7	4871872		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=1
0	4	4	30	1	216	-1	4871872		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	0	4	27	1	1144	-1	0		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	0	4	24	2	1695	-1	0		OP:= Server_Send_Sch		wo_s_p_msg.meta.recver:=1
0	3	4	27	1	1565	-1	0		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	1	4	28	1	3646	-1	0		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	2	4	28	1	3721	-1	0		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
14	4	0	24	0	0	13	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=9
15	4	1	24	0	0	14	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=11
16	4	2	24	0	0	15	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=13
17	4	3	24	0	0	16	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=8
18	4	4	24	0	0	17	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=1
0	4	4	27	1	69	-1	0		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	4	3	27	1	2601	-1	0		OP:= Scheduler_to_Server		rec_w_plus_msg.meta.recver:=8
20	4	4	28	0	0	19	4		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=1
0	4	4	31	1	177	-1	4		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	1	4	34	1	1561	-1	1068240094		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	2	4	39	1	2049	-1	-498729762		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	0	4	27	1	1023869	-1	8		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
25	4	0	24	0	0	24	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=9
26	4	1	24	0	0	25	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=11
27	4	2	24	0	0	26	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=13
0	2	4	31	1	1187	-1	5052528		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	1	4	31	1	1254	-1	5052528		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	0	4	27	1	1930	-1	8		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
31	4	0	24	0	0	30	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=9
32	4	1	24	0	0	31	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=11
33	4	2	24	0	0	32	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=13
0	2	4	31	1	1051	-1	5052528		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	0	4	27	1	1153	-1	8		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	1	4	31	1	1268	-1	5052528		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
37	4	0	24	0	0	36	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=9
38	4	1	24	0	0	37	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=11
39	4	2	24	0	0	38	0		OP:= Scheduler_Comm		sch_s_p_msg.meta.recver:=13
0	1	4	31	1	719	-1	5052528		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	2	4	31	1	792	-1	5052528		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
0	0	4	27	1	824	-1	8		OP:= Scheduler_Comm		rec_sch_plus_msg.meta.recver:=1
